Date,Nifty
2025-08-28,24500.900390625
2025-08-29,24426.849609375
2025-09-01,24625.05078125
2025-09-02,24579.599609375
2025-09-03,24715.05078125
2025-09-04,24734.30078125
2025-09-05,24741.0
2025-09-08,24773.150390625
2025-09-09,24868.599609375
2025-09-10,24973.099609375
2025-09-11,25005.5
2025-09-12,25114.0
2025-09-15,25069.19921875
2025-09-16,25239.099609375
2025-09-17,25330.25
2025-09-18,25423.599609375
2025-09-19,25327.05078125
2025-09-22,25202.349609375
2025-09-23,25169.5
2025-09-24,25056.900390625
2025-09-25,24890.849609375
2025-09-26,24654.69921875
2025-09-29,24634.900390625
2025-09-30,24611.099609375
2025-10-01,24836.30078125
2025-10-03,24894.25
2025-10-06,25077.650390625
2025-10-07,25108.30078125
2025-10-08,25046.150390625
2025-10-09,25181.80078125
2025-10-10,25285.349609375
2025-10-13,25227.349609375
2025-10-14,25145.5
2025-10-15,25323.55078125
2025-10-16,25585.30078125
2025-10-17,25709.849609375
2025-10-20,25843.150390625
2025-10-21,25868.599609375
2025-10-23,25891.400390625
2025-10-24,25795.150390625
2025-10-27,25966.05078125
2025-10-28,25936.19921875
2025-10-29,26053.900390625
2025-10-30,25877.849609375
